Number,Parents,bugpop,natpop,hatch date,eclosion date,death date,sex,cracked,lifespan,Dvpt.time,mathost
680,446,GainesvilleBV,Plantation_Key,21-Jun,NA,25-Jun,NA,n,4,#VALUE!,K.elegans
681,446,GainesvilleBV,HomesteadBV,21-Jun,NA,26-Jun,NA,n,5,#VALUE!,K.elegans
682,446,GainesvilleBV,Key_Largo,21-Jun,17-Jul,,F,y,-40714,26,K.elegans
683,298,Leesburg,Leesburg,21-Jun,22-Jul,,M,n,-40714,31,K.elegans
684,298,Leesburg,GainesvilleGRT,21-Jun,20-Jul,,M,n,-40714,29,K.elegans
685,298,Leesburg,HomesteadGRT,22-Jun,21-Jul,,M,y,-40715,29,K.elegans
686,298,Leesburg,Plantation_Key,22-Jun,NA,25-Jun,NA,n,3,#VALUE!,K.elegans
687,298,Leesburg,Key_Largo,22-Jun,29-Jul,,F,n,-40715,37,K.elegans
688,298,Leesburg,Key_Largo,22-Jun,19-Jul,,F,y,-40715,27,K.elegans
689,470,Ft.Myers,Lake_Wales,22-Jun,22-Jul,,M,n,-40715,30,K.elegans
690,470,Ft.Myers,Leesburg,22-Jun,18-Jul,,M,n,-40715,26,K.elegans
691,470,Ft.Myers,Leesburg,22-Jun,20-Jul,,F,y,-40715,28,K.elegans
692,470,Ft.Myers,Key_Largo,22-Jun,NA,28-Jun,NA,n,6,#VALUE!,K.elegans
693,470,Ft.Myers,Key_Largo,22-Jun,NA,26-Jun,NA,n,4,#VALUE!,K.elegans
694,470,Ft.Myers,Key_Largo,22-Jun,19-Jul,,F,y,-40715,27,K.elegans
695,10,Ft.Myers,Leesburg,22-Jun,27-Jul,,F,n,-40715,35,C.corindum
696,10,Ft.Myers,HomesteadGRT,22-Jun,25-Jul,,F,n,-40715,33,C.corindum
697,10,Ft.Myers,GainesvilleGRT,22-Jun,27-Jul,,M,y,-40715,35,C.corindum
698,10,Ft.Myers,HomesteadBV,22-Jun,NA,28-Jun,NA,n,6,#VALUE!,C.corindum
699,10,Ft.Myers,HomesteadBV,22-Jun,NA,28-Jun,NA,n,6,#VALUE!,C.corindum
700,10,Ft.Myers,HomesteadBV,23-Jun,10-Aug,,M,y,-40716,48,C.corindum
701,320,Ft.Myers,HomesteadGRT,22-Jun,22-Jul,,M,n,-40715,30,K.elegans
702,320,Ft.Myers,Leesburg,22-Jun,26-Jul,,F,n,-40715,34,K.elegans
703,320,Ft.Myers,Leesburg,22-Jun,23-Jul,,F,y,-40715,31,K.elegans
704,320,Ft.Myers,Key_Largo,22-Jun,NA,25-Jun,NA,n,3,#VALUE!,K.elegans
705,320,Ft.Myers,Key_Largo,23-Jun,NA,26-Jun,NA,n,3,#VALUE!,K.elegans
706,320,Ft.Myers,Key_Largo,23-Jun,19-Jul,,M,y,-40716,26,K.elegans
707,91,Leesburg,GainesvilleGRT,23-Jun,26-Jul,,F,n,-40716,33,C.corindum
708,91,Leesburg,GainesvilleGRT,23-Jun,NA,28-Jun,NA,n,5,#VALUE!,C.corindum
709,91,Leesburg,GainesvilleGRT,23-Jun,21-Jul,,F,y,-40716,28,C.corindum
710,91,Leesburg,Plantation_Key,23-Jun,NA,27-Jun,NA,n,4,#VALUE!,C.corindum
711,91,Leesburg,HomesteadBV,23-Jun,NA,27-Jun,NA,n,4,#VALUE!,C.corindum
712,91,Leesburg,Plantation_Key,23-Jun,3-Sep,,F,y,-40716,72,C.corindum
713,247,HomesteadBV,Leesburg,23-Jun,26-Jul,,F,n,-40716,33,K.elegans
